coluna A 1;coluna B 1;coluna C 1
coluna A 20001;coluna B 20001;coluna C 20001
coluna A 5001;coluna B 5001;coluna C 5001
coluna A 45001;coluna B 45001;coluna C 45001
coluna A 10001;coluna B 10001;coluna C 10001
coluna A 5002;coluna B 5002;coluna C 5002
coluna A 15001;coluna B 15001;coluna C 15001
coluna A 10002;coluna B 10002;coluna C 10002
coluna A 25001;coluna B 25001;coluna C 25001
coluna A 30001;coluna B 30001;coluna C 30001
coluna A 35001;coluna B 35001;coluna C 35001
coluna A 30002;coluna B 30002;coluna C 30002
coluna A 40001;coluna B 40001;coluna C 40001
coluna A 30003;coluna B 30003;coluna C 30003
coluna A 2;coluna B 2;coluna C 2
coluna A 30004;coluna B 30004;coluna C 30004
coluna A 20002;coluna B 20002;coluna C 20002
coluna A 30005;coluna B 30005;coluna C 30005
coluna A 45002;coluna B 45002;coluna C 45002
coluna A 30006;coluna B 30006;coluna C 30006
coluna A 45003;coluna B 45003;coluna C 45003
coluna A 30007;coluna B 30007;coluna C 30007
coluna A 5003;coluna B 5003;coluna C 5003
coluna A 30008;coluna B 30008;coluna C 30008
coluna A 15002;coluna B 15002;coluna C 15002
coluna A 30009;coluna B 30009;coluna C 30009
coluna A 10003;coluna B 10003;coluna C 10003
coluna A 30010;coluna B 30010;coluna C 30010
coluna A 25002;coluna B 25002;coluna C 25002
coluna A 30011;coluna B 30011;coluna C 30011
coluna A 35002;coluna B 35002;coluna C 35002
coluna A 30012;coluna B 30012;coluna C 30012
coluna A 35003;coluna B 35003;coluna C 35003
coluna A 30013;coluna B 30013;coluna C 30013
coluna A 40002;coluna B 40002;coluna C 40002
coluna A 30014;coluna B 30014;coluna C 30014
coluna A 3;coluna B 3;coluna C 3
coluna A 30015;coluna B 30015;coluna C 30015
coluna A 20003;coluna B 20003;coluna C 20003
coluna A 30016;coluna B 30016;coluna C 30016
coluna A 45004;coluna B 45004;coluna C 45004
coluna A 30017;coluna B 30017;coluna C 30017
coluna A 5004;coluna B 5004;coluna C 5004
coluna A 30018;coluna B 30018;coluna C 30018
coluna A 15003;coluna B 15003;coluna C 15003
coluna A 10004;coluna B 10004;coluna C 10004
coluna A 15004;coluna B 15004;coluna C 15004
coluna A 25003;coluna B 25003;coluna C 25003
coluna A 15005;coluna B 15005;coluna C 15005
coluna A 35004;coluna B 35004;coluna C 35004
coluna A 15006;coluna B 15006;coluna C 15006
coluna A 40003;coluna B 40003;coluna C 40003
coluna A 4;coluna B 4;coluna C 4
coluna A 20004;coluna B 20004;coluna C 20004
coluna A 5;coluna B 5;coluna C 5
coluna A 45005;coluna B 45005;coluna C 45005
coluna A 5005;coluna B 5005;coluna C 5005
coluna A 45006;coluna B 45006;coluna C 45006
coluna A 30019;coluna B 30019;coluna C 30019
coluna A 45007;coluna B 45007;coluna C 45007
coluna A 10005;coluna B 10005;coluna C 10005
coluna A 45008;coluna B 45008;coluna C 45008
coluna A 25004;coluna B 25004;coluna C 25004
coluna A 45009;coluna B 45009;coluna C 45009
coluna A 35005;coluna B 35005;coluna C 35005
coluna A 45010;coluna B 45010;coluna C 45010
coluna A 15007;coluna B 15007;coluna C 15007
coluna A 45011;coluna B 45011;coluna C 45011
coluna A 40004;coluna B 40004;coluna C 40004
coluna A 45012;coluna B 45012;coluna C 45012
coluna A 40005;coluna B 40005;coluna C 40005
coluna A 20005;coluna B 20005;coluna C 20005
coluna A 40006;coluna B 40006;coluna C 40006
coluna A 6;coluna B 6;coluna C 6
coluna A 40007;coluna B 40007;coluna C 40007
coluna A 5006;coluna B 5006;coluna C 5006
coluna A 40008;coluna B 40008;coluna C 40008
coluna A 30020;coluna B 30020;coluna C 30020
coluna A 40009;coluna B 40009;coluna C 40009
coluna A 10006;coluna B 10006;coluna C 10006
coluna A 40010;coluna B 40010;coluna C 40010
coluna A 25005;coluna B 25005;coluna C 25005
coluna A 40011;coluna B 40011;coluna C 40011
coluna A 35006;coluna B 35006;coluna C 35006
coluna A 40012;coluna B 40012;coluna C 40012
coluna A 15008;coluna B 15008;coluna C 15008
coluna A 40013;coluna B 40013;coluna C 40013
coluna A 45013;coluna B 45013;coluna C 45013
coluna A 40014;coluna B 40014;coluna C 40014
coluna A 20006;coluna B 20006;coluna C 20006
coluna A 40015;coluna B 40015;coluna C 40015
coluna A 7;coluna B 7;coluna C 7
coluna A 5007;coluna B 5007;coluna C 5007
coluna A 30021;coluna B 30021;coluna C 30021
coluna A 5008;coluna B 5008;coluna C 5008
coluna A 10007;coluna B 10007;coluna C 10007
coluna A 25006;coluna B 25006;coluna C 25006
coluna A 10008;coluna B 10008;coluna C 10008
coluna A 35007;coluna B 35007;coluna C 35007
coluna A 15009;coluna B 15009;coluna C 15009
coluna A 35008;coluna B 35008;coluna C 35008
coluna A 45014;coluna B 45014;coluna C 45014
coluna A 35009;coluna B 35009;coluna C 35009
coluna A 20007;coluna B 20007;coluna C 20007
coluna A 35010;coluna B 35010;coluna C 35010
coluna A 40016;coluna B 40016;coluna C 40016
coluna A 35011;coluna B 35011;coluna C 35011
coluna A 8;coluna B 8;coluna C 8
coluna A 30022;coluna B 30022;coluna C 30022
coluna A 9;coluna B 9;coluna C 9
coluna A 5009;coluna B 5009;coluna C 5009
coluna A 25007;coluna B 25007;coluna C 25007
coluna A 5010;coluna B 5010;coluna C 5010
coluna A 10009;coluna B 10009;coluna C 10009
coluna A 5011;coluna B 5011;coluna C 5011
coluna A 15010;coluna B 15010;coluna C 15010
coluna A 5012;coluna B 5012;coluna C 5012
coluna A 45015;coluna B 45015;coluna C 45015
coluna A 5013;coluna B 5013;coluna C 5013
coluna A 20008;coluna B 20008;coluna C 20008
coluna A 5014;coluna B 5014;coluna C 5014
coluna A 40017;coluna B 40017;coluna C 40017
coluna A 5015;coluna B 5015;coluna C 5015
coluna A 35012;coluna B 35012;coluna C 35012
coluna A 5016;coluna B 5016;coluna C 5016
coluna A 30023;coluna B 30023;coluna C 30023
coluna A 5017;coluna B 5017;coluna C 5017
coluna A 10;coluna B 10;coluna C 10
coluna A 5018;coluna B 5018;coluna C 5018
coluna A 25008;coluna B 25008;coluna C 25008
coluna A 5019;coluna B 5019;coluna C 5019
coluna A 10010;coluna B 10010;coluna C 10010
coluna A 5020;coluna B 5020;coluna C 5020
coluna A 15011;coluna B 15011;coluna C 15011
coluna A 5021;coluna B 5021;coluna C 5021
coluna A 45016;coluna B 45016;coluna C 45016
coluna A 5022;coluna B 5022;coluna C 5022
coluna A 20009;coluna B 20009;coluna C 20009
coluna A 5023;coluna B 5023;coluna C 5023
coluna A 40018;coluna B 40018;coluna C 40018
coluna A 5024;coluna B 5024;coluna C 5024
coluna A 35013;coluna B 35013;coluna C 35013
coluna A 5025;coluna B 5025;coluna C 5025
coluna A 30024;coluna B 30024;coluna C 30024
coluna A 11;coluna B 11;coluna C 11
coluna A 30025;coluna B 30025;coluna C 30025
coluna A 25009;coluna B 25009;coluna C 25009
coluna A 30026;coluna B 30026;coluna C 30026
coluna A 10011;coluna B 10011;coluna C 10011
coluna A 30027;coluna B 30027;coluna C 30027
coluna A 15012;coluna B 15012;coluna C 15012
coluna A 30028;coluna B 30028;coluna C 30028
coluna A 45017;coluna B 45017;coluna C 45017
coluna A 30029;coluna B 30029;coluna C 30029
coluna A 20010;coluna B 20010;coluna C 20010
coluna A 30030;coluna B 30030;coluna C 30030
coluna A 40019;coluna B 40019;coluna C 40019
coluna A 30031;coluna B 30031;coluna C 30031
coluna A 35014;coluna B 35014;coluna C 35014
coluna A 30032;coluna B 30032;coluna C 30032
coluna A 5026;coluna B 5026;coluna C 5026
coluna A 30033;coluna B 30033;coluna C 30033
coluna A 12;coluna B 12;coluna C 12
coluna A 30034;coluna B 30034;coluna C 30034
coluna A 25010;coluna B 25010;coluna C 25010
coluna A 30035;coluna B 30035;coluna C 30035
coluna A 10012;coluna B 10012;coluna C 10012
coluna A 30036;coluna B 30036;coluna C 30036
coluna A 15013;coluna B 15013;coluna C 15013
coluna A 30037;coluna B 30037;coluna C 30037
coluna A 45018;coluna B 45018;coluna C 45018
coluna A 30038;coluna B 30038;coluna C 30038
coluna A 20011;coluna B 20011;coluna C 20011
coluna A 30039;coluna B 30039;coluna C 30039
coluna A 40020;coluna B 40020;coluna C 40020
coluna A 30040;coluna B 30040;coluna C 30040
coluna A 35015;coluna B 35015;coluna C 35015
coluna A 30041;coluna B 30041;coluna C 30041
coluna A 5027;coluna B 5027;coluna C 5027
coluna A 30042;coluna B 30042;coluna C 30042
coluna A 13;coluna B 13;coluna C 13
coluna A 30043;coluna B 30043;coluna C 30043
coluna A 25011;coluna B 25011;coluna C 25011
coluna A 30044;coluna B 30044;coluna C 30044
coluna A 10013;coluna B 10013;coluna C 10013
coluna A 30045;coluna B 30045;coluna C 30045
coluna A 15014;coluna B 15014;coluna C 15014
coluna A 30046;coluna B 30046;coluna C 30046
coluna A 45019;coluna B 45019;coluna C 45019
coluna A 30047;coluna B 30047;coluna C 30047
coluna A 20012;coluna B 20012;coluna C 20012
coluna A 30048;coluna B 30048;coluna C 30048
coluna A 40021;coluna B 40021;coluna C 40021
coluna A 30049;coluna B 30049;coluna C 30049
coluna A 35016;coluna B 35016;coluna C 35016
coluna A 30050;coluna B 30050;coluna C 30050
coluna A 5028;coluna B 5028;coluna C 5028
coluna A 14;coluna B 14;coluna C 14
coluna A 25012;coluna B 25012;coluna C 25012
coluna A 15;coluna B 15;coluna C 15
coluna A 10014;coluna B 10014;coluna C 10014
coluna A 16;coluna B 16;coluna C 16
coluna A 15015;coluna B 15015;coluna C 15015
coluna A 45020;coluna B 45020;coluna C 45020
coluna A 20013;coluna B 20013;coluna C 20013
coluna A 45021;coluna B 45021;coluna C 45021
coluna A 40022;coluna B 40022;coluna C 40022
coluna A 45022;coluna B 45022;coluna C 45022
coluna A 35017;coluna B 35017;coluna C 35017
coluna A 30051;coluna B 30051;coluna C 30051
coluna A 5029;coluna B 5029;coluna C 5029
coluna A 30052;coluna B 30052;coluna C 30052
coluna A 25013;coluna B 25013;coluna C 25013
coluna A 10015;coluna B 10015;coluna C 10015
coluna A 25014;coluna B 25014;coluna C 25014
coluna A 17;coluna B 17;coluna C 17
coluna A 25015;coluna B 25015;coluna C 25015
coluna A 15016;coluna B 15016;coluna C 15016
coluna A 25016;coluna B 25016;coluna C 25016
coluna A 20014;coluna B 20014;coluna C 20014
coluna A 25017;coluna B 25017;coluna C 25017
coluna A 40023;coluna B 40023;coluna C 40023
coluna A 25018;coluna B 25018;coluna C 25018
coluna A 45023;coluna B 45023;coluna C 45023
coluna A 25019;coluna B 25019;coluna C 25019
coluna A 45024;coluna B 45024;coluna C 45024
coluna A 25020;coluna B 25020;coluna C 25020
coluna A 35018;coluna B 35018;coluna C 35018
coluna A 25021;coluna B 25021;coluna C 25021
coluna A 5030;coluna B 5030;coluna C 5030
coluna A 25022;coluna B 25022;coluna C 25022
coluna A 30053;coluna B 30053;coluna C 30053
coluna A 25023;coluna B 25023;coluna C 25023
coluna A 10016;coluna B 10016;coluna C 10016
coluna A 18;coluna B 18;coluna C 18
coluna A 10017;coluna B 10017;coluna C 10017
coluna A 15017;coluna B 15017;coluna C 15017
coluna A 10018;coluna B 10018;coluna C 10018
coluna A 20015;coluna B 20015;coluna C 20015
coluna A 10019;coluna B 10019;coluna C 10019
coluna A 40024;coluna B 40024;coluna C 40024
coluna A 10020;coluna B 10020;coluna C 10020
coluna A 45025;coluna B 45025;coluna C 45025
coluna A 10021;coluna B 10021;coluna C 10021
